,name,offer,delivery_fee,delivery_time,rating,cuisine,url,num_reviews,address
0,Wendy's (650 Broadway), ,$0.99,30–45 Min,4.2,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-650-broadway/q2rJdGeDT5-THX3wUUNa1A,( ),
1,Bluestone Lane (51 Astor Pl), ,$1.99,35–50 Min,4.7,Breakfast and Brunch • Coffee and Tea • Healthy • Australian,https://www.ubereats.com/new-york/food-delivery/bluestone-lane-51-astor-pl/9I6pEZBESNqBXhxvrNeZqQ,( ),
2,Murray's Bagels - Greenwich Village, ,$3.99,40–55 Min,4.8,Breakfast and Brunch • Sandwich • Salads • Desserts,https://www.ubereats.com/new-york/food-delivery/murrays-bagels-greenwich-village/bNRj74IbQHOrRI7lH0ehYw,( ),
3,La Parisienne - FiDi, ,$0.99,20–35 Min,5.0,French • Cafe • Healthy,https://www.ubereats.com/new-york/food-delivery/la-parisienne-fidi/lJhNCae0RKWzgan9uQxvEA,( ),
4,Red Mango - FiDi, ,$1.99,30–45 Min,4.8,Desserts,https://www.ubereats.com/new-york/food-delivery/red-mango-fidi/t1DRWtsUQa6O9JF2GAt2bg,( ),
5,The Bean,"Spend $10, Save $2",$1.99,30–40 Min,New,Coffee and Tea • American • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/the-bean/8gxBvd2BSnen0mGABTlwxw,( ),
6,Dunkin' (122 Fulton St),$0 Delivery Fee (Spend $10),$0.99,10–20 Min,4.1,Breakfast and Brunch • Donuts,https://www.ubereats.com/new-york/food-delivery/dunkin-122-fulton-st/NQM0fC7tQ12rAQ3Gkp6Kzw,( ),
7,Prime Burger Lounge,"Spend $10, Save $2",$1.99,30–40 Min,4.0,Burgers • American • Sandwiches • Desserts,https://www.ubereats.com/new-york/food-delivery/prime-burger-lounge/ECFFeV7-ROCrNNcj4fYPRw,( ),
8,Mia's Breakfast Bar,"Spend $10, Save $2",$1.99,25–35 Min,New,Breakfast and Brunch • American • Sandwiches,https://www.ubereats.com/new-york/food-delivery/mias-breakfast-bar/ioNuQqswRdG1RTjdNvpIgw,( ),
9,Pasticceria Rocco - Bleecker St,Free Item (Spend $40),$0.99,25–35 Min,New,Breakfast and Brunch • Pastry • Bakery • Sandwich • Cafe • Burgers • Desserts • Fast Food • American • Comfort Food,https://www.ubereats.com/new-york/food-delivery/pasticceria-rocco-bleecker-st/r5bskOiVQu6KFEqjbRlY9A,( ),
10,Ice Cream Parlor,"Spend $15, Save $3",$0.99,20–30 Min,New,Ice Cream & Frozen Yogurt • Comfort Food • Desserts,https://www.ubereats.com/new-york/food-delivery/ice-cream-parlor/KwaU5birT-yAyRmeh-Disw,( ),
11,McDonald's® - FiDi (160 Broadway), ,$1.99,10–20 Min,4.4,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/mcdonalds-fidi-160-broadway/Cn7rm31RTym93cHeWFUSow,( ),
12,Starbucks® (100 Williams Street),$0 Delivery Fee,$1.99,10–20 Min,4.7,Cafe • Coffee & Tea • Breakfast and Brunch • Bakery,https://www.ubereats.com/new-york/food-delivery/starbucks-100-williams-street/iye2Zq1_Ra2sXhp2LZcCYA,( ),
13,Leo’s Bagels, ,$1.99,20–30 Min,4.7,Breakfast and Brunch • Sandwich • Salads • Desserts,https://www.ubereats.com/new-york/food-delivery/leos-bagels/yWYPv0ObSsK7uVN5qEpN_A,( ),
14,Wendy's (85 Nassau Street), ,$0.99,15–25 Min,4.3,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-85-nassau-street/GhQE14RLT3ydmua-G5XOag,( ),
15,Burger King (106 Liberty Street),$0 Delivery Fee (Spend $15),$1.99,15–25 Min,4.4,American • burger • Fast Food,https://www.ubereats.com/new-york/food-delivery/burger-king-106-liberty-street/uRBg5on7TECIyBd8pH3ZxQ,( ),
16,Playa Bowls (Macdougal), ,$3.99,20–30 Min,4.8,Healthy • Desserts • Vegetarian Friendly • Family Meals,https://www.ubereats.com/new-york/food-delivery/playa-bowls-macdougal/R5ifZMrwR-CE6qnVykf7AQ,( ),
17,Leo’s Bagels, ,$1.99,20–30 Min,4.7,Breakfast and Brunch • Sandwich • Salads • Desserts,https://www.ubereats.com/new-york/food-delivery/leos-bagels/yWYPv0ObSsK7uVN5qEpN_A,( ),
18,Wendy's (85 Nassau Street), ,$0.99,15–25 Min,4.3,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-85-nassau-street/GhQE14RLT3ydmua-G5XOag,( ),
19,Burger King (106 Liberty Street),$0 Delivery Fee (Spend $15),$1.99,15–25 Min,4.4,American • burger • Fast Food,https://www.ubereats.com/new-york/food-delivery/burger-king-106-liberty-street/uRBg5on7TECIyBd8pH3ZxQ,( ),
20,Playa Bowls (Macdougal), ,$3.99,20–30 Min,4.8,Healthy • Desserts • Vegetarian Friendly • Family Meals,https://www.ubereats.com/new-york/food-delivery/playa-bowls-macdougal/R5ifZMrwR-CE6qnVykf7AQ,( ),
21,McDonald's® - FiDi (160 Broadway), ,$1.99,10–20 Min,4.4,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/mcdonalds-fidi-160-broadway/Cn7rm31RTym93cHeWFUSow,( ),
22,Starbucks® (100 Williams Street),$0 Delivery Fee,$1.99,10–20 Min,4.7,Cafe • Coffee & Tea • Breakfast and Brunch • Bakery,https://www.ubereats.com/new-york/food-delivery/starbucks-100-williams-street/iye2Zq1_Ra2sXhp2LZcCYA,( ),
23,Ice Cream Parlor,"Spend $15, Save $3",$0.99,20–30 Min,New,Ice Cream & Frozen Yogurt • Comfort Food • Desserts,https://www.ubereats.com/new-york/food-delivery/ice-cream-parlor/KwaU5birT-yAyRmeh-Disw,( ),
24,Dunkin' (52 E 8th St),$0 Delivery Fee (Spend $10),$1.99,20–30 Min,New,Breakfast & Brunch • Donuts,https://www.ubereats.com/new-york/food-delivery/dunkin-52-e-8th-st/NW4IPeELTYK6LQwnK0KGbA,( ),
25,The Ice Cream Shop, ,$0.99,20–30 Min,New,Desserts • Ice Cream and Frozen Yogurt,https://www.ubereats.com/new-york/food-delivery/the-ice-cream-shop/o26crygCSXqsZknWbBx_FQ,( ),
26,The Hot Italian, ,$1.99,30–40 Min,New,Burgers • American • Sandwiches,https://www.ubereats.com/new-york/food-delivery/the-hot-italian/kd9iFWwUSfqRJ2bzGh9wXQ,( ),
27,Le Basket, ,$0.99,20–30 Min,New,Sushi • Asian • Japanese,https://www.ubereats.com/new-york/food-delivery/le-basket/RFjKXtlJT_qf-nfo9hYO6Q,( ),
28,Bagel Express - 3rd Ave., ,$2.99,35–45 Min,New,American • Breakfast and Brunch • Salads,https://www.ubereats.com/new-york/food-delivery/bagel-express-3rd-ave/0hnEqS8sQJm4bDw-l8YEYA,( ),
29,Clinton Street Baking Co., ,$1.99,30–40 Min,4.7,American • Breakfast and Brunch • Desserts,https://www.ubereats.com/new-york/food-delivery/clinton-street-baking-co/lm3ZlHXtQXqNJ4dkt9AEnw,( ),
30,Shake Shack (23rd and Madison Avenue), ,$2.99,25–35 Min,4.5,American • Burgers,https://www.ubereats.com/new-york/food-delivery/shake-shack-23rd-and-madison-avenue/rAVqozT5QfWcME8nNy_WRQ,( ),
31,Subway (11 BROADWAY UNIT 155), ,$2.99,20–30 Min,New,Fast Food • Sandwich • American,https://www.ubereats.com/new-york/food-delivery/subway-11-broadway-unit-155/dMbSkAEWSemc6SEtfyct2g,( ),
32,McDonald's® - FiDi (160 Broadway), ,$1.99,10–20 Min,4.4,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/mcdonalds-fidi-160-broadway/Cn7rm31RTym93cHeWFUSow,( ),
33,Starbucks® (100 Williams Street),$0 Delivery Fee,$1.99,10–20 Min,4.7,Cafe • Coffee & Tea • Breakfast and Brunch • Bakery,https://www.ubereats.com/new-york/food-delivery/starbucks-100-williams-street/iye2Zq1_Ra2sXhp2LZcCYA,( ),
34,Panera (10 Union Square East),"Spend $15, Save $5",$1.99,30–40 Min,4.4,Breakfast and Brunch • salad • Sandwich • Family Meals,https://www.ubereats.com/new-york/food-delivery/panera-10-union-square-east/o7_EwuTuQ9K68-GO4syKvQ,( ),
35,Dunkin' (122 Fulton St),$0 Delivery Fee (Spend $10),$0.99,10–20 Min,4.1,Breakfast and Brunch • Donuts,https://www.ubereats.com/new-york/food-delivery/dunkin-122-fulton-st/NQM0fC7tQ12rAQ3Gkp6Kzw,( ),
36,Wendy's (85 Nassau Street), ,$0.99,15–25 Min,4.3,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-85-nassau-street/GhQE14RLT3ydmua-G5XOag,( ),
37,Burger King (106 Liberty Street),$0 Delivery Fee (Spend $15),$1.99,15–25 Min,4.4,American • burger • Fast Food,https://www.ubereats.com/new-york/food-delivery/burger-king-106-liberty-street/uRBg5on7TECIyBd8pH3ZxQ,( ),
38,Taco Bell (224 7th Ave), ,$2.99,20–30 Min,New,Burritos • Fast Food • Mexican,https://www.ubereats.com/new-york/food-delivery/taco-bell-224-7th-ave/cdPb81aEQ2eMdBORzzRQ5w,( ),
39,Starbucks® (100 Williams Street),$0 Delivery Fee,$1.99,10–20 Min,4.7,Cafe • Coffee & Tea • Breakfast and Brunch • Bakery,https://www.ubereats.com/new-york/food-delivery/starbucks-100-williams-street/iye2Zq1_Ra2sXhp2LZcCYA,( ),
40,Dunkin' (122 Fulton St),$0 Delivery Fee (Spend $10),$0.99,10–20 Min,4.1,Breakfast and Brunch • Donuts,https://www.ubereats.com/new-york/food-delivery/dunkin-122-fulton-st/NQM0fC7tQ12rAQ3Gkp6Kzw,( ),
41,McDonald's® - West Village (Varick & Downing St), ,$2.99,15–25 Min,4.5,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/mcdonalds-west-village-varick-%26-downing-st/vzioEVUtRDSaZXyfswAwgQ,( ),
