name,city,cuisine,rating,price_range,coordinates,phone,url,address,opening_hours
Vive La Crepe - Colombus &amp 68th St.,new-york,"['French', 'Coffee and Tea', 'Desserts']","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '27'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7750114, 'longitude': -73.9803166}",+6464788008,https://www.ubereats.com/new-york/food-delivery/vive-la-crepe-colombus-%26-68th-st/E5pHJPJrRV64y20haSxCUQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10023', 'addressCountry': 'US', 'streetAddress': '189 Columbus Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '18:0'}]"
sweetgreen (Chambers St),new-york,"['Healthy', 'Salads']","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '136'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7155448, 'longitude': -74.00887329999999}",,https://www.ubereats.com/new-york/food-delivery/sweetgreen-chambers-st/Cj_cHIJcScSzUmP8ClbeDA,"{'@type': 'PostalAddress', 'addressLocality': 'New York City', 'addressRegion': 'NY', 'postalCode': '10007', 'addressCountry': 'US', 'streetAddress': '125 Chambers St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '20:0'}]"
Tacombi - Financial District,new-york,"['Mexican', 'Healthy', 'New Mexican']","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '71'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7046445, 'longitude': -74.0118676}",+19172155939,https://www.ubereats.com/new-york/food-delivery/tacombi-financial-district/PbOXwSKnQteaTlIi0cTAYA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10004', 'addressCountry': 'US', 'streetAddress': '74 Broad Street'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:45', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:45', 'closes': '22:45'}]"
Daily Poke Co.,new-york,"['Hawaiian', 'Seafood', 'Salads', 'Gluten Free Friendly', 'Healthy', 'Sushi', 'Asian']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.759251, 'longitude': -73.970623}",+19703339759,https://www.ubereats.com/new-york/food-delivery/daily-poke-co/yPZBfqkgRyiFpfyelKo2AA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '10022', 'addressCountry': 'US', 'streetAddress': '638 Lexington Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '15:0'}]"
Dough Boys Pizza,new-york,"['Italian', 'Pizza', 'Sandwich']","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '219'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.743856, 'longitude': -73.979276}",+12126861211,https://www.ubereats.com/new-york/food-delivery/dough-boys-pizza/yfqz6M7oTkqTywZp3daxNA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '10016', 'addressCountry': 'US', 'streetAddress': '451 3rd Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '10:45', 'closes': '21:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '10:45', 'closes': '22:15'}]"
Cafe Katja,new-york,"['Cafe', 'Breakfast and Brunch', 'Austrian', 'Pub']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7177239, 'longitude': -73.99059559999999}",+12122199545,https://www.ubereats.com/new-york/food-delivery/cafe-katja/hOZVMGVlTZybi3-3ntP3wA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10002', 'addressCountry': 'US', 'streetAddress': '79 Orchard St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:30', 'closes': '3:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '0:0'}]"
My Food House,new-york,"['Chinese', 'Seafood', 'Vegetarian Friendly']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.7144078, 'longitude': -73.9937693}",+19293200555,https://www.ubereats.com/new-york/food-delivery/my-food-house/NkBgYAMZSFC7c6RNvyiUpA,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '14:0', 'closes': '19:0'}]"
Tous Les Jours,new-york,"['American', 'Breakfast and Brunch', 'Desserts']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.74793570000001, 'longitude': -73.9870352}",+12129679661,https://www.ubereats.com/new-york/food-delivery/tous-les-jours/qYB0jez_TkqB0-u6PZRhEw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10001', 'addressCountry': 'US', 'streetAddress': '31 W 32nd St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:30', 'closes': '21:0'}]"
Frankie Boys Pizza,new-york,"['Pizza', 'Salads', 'Italian']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.752131, 'longitude': -73.987801}",+12122447444,https://www.ubereats.com/new-york/food-delivery/frankie-boys-pizza/R7pDwpDcTeebEagrEa9ItA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10018', 'addressCountry': 'US', 'streetAddress': '1369 Broadway'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:30'}]"
The Sound Bite - Hell's Kitchen,new-york,"['Soul Food', 'Burgers', 'Breakfast and Brunch']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.763434, 'longitude': -73.989223}",+19174095868,https://www.ubereats.com/new-york/food-delivery/the-sound-bite-hells-kitchen/yCUtik9xTmyzI-frvkrWnw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '10019', 'addressCountry': 'US', 'streetAddress': '737 9th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '16:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '23:0'}]"
