name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
King Pin Donuts,https://www.ubereats.com/san-francisco/food-delivery/king-pin-donuts/bMSm3ttiTGmvvQMTttcy5Q,orinda-california,"['Desserts', 'Vegetarian', 'Coffee and Tea']",4.6,145,$,37.868127699999995,-122.25796799999999,+15108436688,94704,2521 Durant Ave,Berkeley,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '2:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Berkeley', 'addressRegion': 'CA', 'postalCode': '94704', 'addressCountry': 'US', 'streetAddress': '2521 Durant Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.868127699999995, 'longitude': -122.25796799999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '145'}"
Rendez-Vous Cafe Bistro,https://www.ubereats.com/san-francisco/food-delivery/rendez-vous-cafe-bistro/oWVqwKn7TPyJSPiSs3_diQ,orinda-california,"['Breakfast and Brunch', 'Salads', 'Sandwich']",4.8,56,$$,37.890418,-122.298387,+15105274111,94706,1111 Solano Ave,Albany,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Albany', 'addressRegion': 'CA', 'postalCode': '94706', 'addressCountry': 'US', 'streetAddress': '1111 Solano Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.890418, 'longitude': -122.298387}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '56'}"
Masabaga ,https://www.ubereats.com/san-francisco/food-delivery/masabaga/4yRHri5_SLK_B71uSJVyZg,orinda-california,"['Japanese', 'Sandwich']",,,$,37.80989,-122.26915,+15103263295,94612,2022 Telegraph Avenue,Oakland,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oakland', 'addressRegion': 'CA', 'postalCode': '94612', 'addressCountry': 'US', 'streetAddress': '2022 Telegraph Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 37.80989, 'longitude': -122.26915}",{}
1951 Coffee Company,https://www.ubereats.com/san-francisco/food-delivery/1951-coffee-company/OOVoiJzKTzWxrPUR6VV5gg,orinda-california,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",,,$,37.86601,-122.2606103,+15102806171,94704,2407 Dana St,Berkeley,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '7:0', 'closes': '7:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Berkeley', 'addressRegion': 'CA', 'postalCode': '94704', 'addressCountry': 'US', 'streetAddress': '2407 Dana St'}","{'@type': 'GeoCoordinates', 'latitude': 37.86601, 'longitude': -122.2606103}",{}
Sichuan Style Restaurant,https://www.ubereats.com/san-francisco/food-delivery/sichuan-style-restaurant/u-Cb3e5xSH24URcKRh2zMw,orinda-california,"['Chinese', 'Asian Fusion']",4.8,177,$,37.891461,-122.282569,+15105259890,94707,1699 Solano Ave,Berkeley,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Berkeley', 'addressRegion': 'CA', 'postalCode': '94707', 'addressCountry': 'US', 'streetAddress': '1699 Solano Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.891461, 'longitude': -122.282569}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '177'}"
Bourbon Highway,https://www.ubereats.com/san-francisco/food-delivery/bourbon-highway/y4e6UvlIQvqpPs8nlWyC2w,orinda-california,"['Burgers', 'American', 'Sandwiches']",,,$,37.90185219999999,-122.0622383,+19257051595,94596,1677 N Main St,Walnut Creek,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Walnut Creek', 'addressRegion': 'CA', 'postalCode': '94596', 'addressCountry': 'US', 'streetAddress': '1677 N Main St'}","{'@type': 'GeoCoordinates', 'latitude': 37.90185219999999, 'longitude': -122.0622383}",{}
Bistro Burger & Grill,https://www.ubereats.com/san-francisco/food-delivery/bistro-burger-%26-grill/I38wFzu6R-u-QzWiaEuMcQ,orinda-california,['Burgers'],,,$,37.890483,-122.127511,+19254031164,94549,965 Mountain View Dr,Lafayette,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lafayette', 'addressRegion': 'CA', 'postalCode': '94549', 'addressCountry': 'US', 'streetAddress': '965 Mountain View Dr'}","{'@type': 'GeoCoordinates', 'latitude': 37.890483, 'longitude': -122.127511}",{}
Homeroom (Berkeley),https://www.ubereats.com/san-francisco/food-delivery/homeroom-berkeley/Vq7wvGuhQ925AT7MyT7KOA,orinda-california,"['American', 'Comfort Food', 'Bar Food', 'Vegetarian', 'Vegan']",4.5,79,$,37.8711978,-122.274652,+14159428304,94703,1812 University Ave,Berkeley,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '4:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Berkeley', 'addressRegion': 'CA', 'postalCode': '94703', 'addressCountry': 'US', 'streetAddress': '1812 University Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.8711978, 'longitude': -122.274652}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '79'}"
Simply Bowl,https://www.ubereats.com/san-francisco/food-delivery/simply-bowl/9FSj02YSSVeibLLZvikhfA,orinda-california,['Asian Fusion'],4.8,53,$$,37.872028,-122.267109,+15106479494,94704,2156 University Ave,Berkeley,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Berkeley', 'addressRegion': 'California', 'postalCode': '94704', 'addressCountry': 'US', 'streetAddress': '2156 University Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.872028, 'longitude': -122.267109}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '53'}"
BALADI,https://www.ubereats.com/san-francisco/food-delivery/baladi/3y2wT8tXQry574ct7cL-Kg,orinda-california,"['Coffee and Tea', 'Breakfast and Brunch', 'Cafe']",,,$,37.871701,-122.267932,+15106479180,94704,61 Shattuck Square,Berkeley,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Berkeley', 'addressRegion': 'California', 'postalCode': '94704', 'addressCountry': 'US', 'streetAddress': '61 Shattuck Square'}","{'@type': 'GeoCoordinates', 'latitude': 37.871701, 'longitude': -122.267932}",{}
