name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Killer Wings,https://www.ubereats.com/charlotte/food-delivery/killer-wings/3fqsWpkKQNmZl35dJ9IKlw,belmont-north-carolina,"['Burgers', 'American', 'Sandwiches']",3.0,35,$,35.2247281,-80.8934209,+19805009615,28208,3210 Wilkinson Boulevard,Charlotte,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Charlotte', 'addressRegion': 'NC', 'postalCode': '28208', 'addressCountry': 'US', 'streetAddress': '3210 Wilkinson Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 35.2247281, 'longitude': -80.8934209}","{'@type': 'AggregateRating', 'ratingValue': 3, 'reviewCount': '35'}"
Poke Bros (Gastonia),https://www.ubereats.com/charlotte/food-delivery/poke-bros-gastonia/C3XQOme1RdqnXK6pCi68ew,belmont-north-carolina,"['Japanese', 'Asian', 'Sushi', 'Family Meals']",4.8,36,$,35.2592617,-81.1236153,+19803208003,28056,3090 E Franklin Blvd #17,Gastonia,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gastonia', 'addressRegion': 'NC', 'postalCode': '28056', 'addressCountry': 'US', 'streetAddress': '3090 E Franklin Blvd #17'}","{'@type': 'GeoCoordinates', 'latitude': 35.2592617, 'longitude': -81.1236153}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '36'}"
Wild Wing Cafe (Gastonia),https://www.ubereats.com/charlotte/food-delivery/wild-wing-cafe-gastonia/xIbBhENFS5mo5epkyUNh8A,belmont-north-carolina,"['Sandwiches', 'American', 'Healthy', 'Family Meals']",4.3,26,$,35.2582165,-81.11404809999999,+17048794265,28056,3638 East Franklin Boulevard,Gastonia,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gastonia', 'addressRegion': 'NC', 'postalCode': '28056', 'addressCountry': 'US', 'streetAddress': '3638 East Franklin Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 35.2582165, 'longitude': -81.11404809999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '26'}"
American Burger Company (Rivergate),https://www.ubereats.com/charlotte/food-delivery/american-burger-company-rivergate/22CWuH8TTSWZgwTDviCYTA,belmont-north-carolina,"['Burgers', 'American', 'Sandwiches']",4.6,48,$,35.1024898,-80.9857691,+17044947356,28273,14130 Rivergate Pkwy,Charlotte,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Charlotte', 'addressRegion': 'NC', 'postalCode': '28273', 'addressCountry': 'US', 'streetAddress': '14130 Rivergate Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 35.1024898, 'longitude': -80.9857691}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '48'}"
Moe's Southwest Grill (3908 East Franklin Blvd. Suite 100),https://www.ubereats.com/charlotte/food-delivery/moes-southwest-grill-3908-east-franklin-blvd-suite-100/Emf2icjXQvyG2464pYl1dQ,belmont-north-carolina,"['Mexican', 'Salads', 'Desserts', 'Family Meals']",4.4,42,$,35.2574299,-81.1114621,+17048247774,28056,3908 East Franklin Blvd.,Gastonia,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gastonia', 'addressRegion': 'NC', 'postalCode': '28056', 'addressCountry': 'US', 'streetAddress': '3908 East Franklin Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 35.2574299, 'longitude': -81.1114621}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '42'}"
A Piece of Havana,https://www.ubereats.com/charlotte/food-delivery/a-piece-of-havana/1zil3290QsW_7TaoBnyBJw,belmont-north-carolina,"['Latin American', 'Cuban']",,,$,35.116692,-80.96264699999999,+17045887883,28273,11126 S Tryon St,Charlotte,11126 S Tryon St,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:10', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Charlotte', 'addressRegion': '11126 S Tryon St', 'postalCode': '28273', 'addressCountry': 'US', 'streetAddress': '11126 S Tryon St'}","{'@type': 'GeoCoordinates', 'latitude': 35.116692, 'longitude': -80.96264699999999}",{}
Cherubs Cafe (Belmont),https://www.ubereats.com/charlotte/food-delivery/cherubs-cafe-belmont/ao9RQRcUTDmJZII45tEqhQ,belmont-north-carolina,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",,,$,35.24314320000001,-81.0380722,+17048250418,28012,23 N Main St,Belmont,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Belmont', 'addressRegion': 'NC', 'postalCode': '28012', 'addressCountry': 'US', 'streetAddress': '23 N Main St'}","{'@type': 'GeoCoordinates', 'latitude': 35.24314320000001, 'longitude': -81.0380722}",{}
Famous Dave's BBQ,https://www.ubereats.com/charlotte/food-delivery/famous-daves-bbq/ZEjrT8uRR_CiQV1kd3d_XQ,belmont-north-carolina,"['BBQ', 'American', 'Burgers']",4.7,35,$,35.0973311,-80.935073,+18032283311,29708,"917 Cabelas Drive,  Suite 102",Fort Mill,SC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:10', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Mill', 'addressRegion': 'SC', 'postalCode': '29708', 'addressCountry': 'US', 'streetAddress': '917 Cabelas Drive,  Suite 102'}","{'@type': 'GeoCoordinates', 'latitude': 35.0973311, 'longitude': -80.935073}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '35'}"
Zaxby's (9308 Robert Irwin Drive),https://www.ubereats.com/charlotte/food-delivery/zaxbys-9308-robert-irwin-drive/3P9scvKCQCOFe0N2PHR2Lw,belmont-north-carolina,"['American', 'Wings', 'Salads', 'Family Meals']",4.5,75,$,35.1637713,-80.9708314,+17045879679,28278,9308 Robert Irwin Drive,Charlotte,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Charlotte', 'addressRegion': 'NC', 'postalCode': '28278', 'addressCountry': 'US', 'streetAddress': '9308 Robert Irwin Drive'}","{'@type': 'GeoCoordinates', 'latitude': 35.1637713, 'longitude': -80.9708314}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '75'}"
Hardee's 1629 (716 Mcadenville Road),https://www.ubereats.com/charlotte/food-delivery/hardees-1629-716-mcadenville-road/1NeA7Ap1TdelKqi-5nByuQ,belmont-north-carolina,"['American', 'Breakfast and Brunch', 'Burgers', 'Chicken', 'Fast Food', 'Sandwich']",,,$,35.2641391,-81.0916338,+17048240758,28098,716 Mcadenville Road,Lowell,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:15', 'closes': '9:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:31', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '5:15', 'closes': '9:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:31', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '5:15', 'closes': '9:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:31', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lowell', 'addressRegion': 'NC', 'postalCode': '28098', 'addressCountry': 'US', 'streetAddress': '716 Mcadenville Road'}","{'@type': 'GeoCoordinates', 'latitude': 35.2641391, 'longitude': -81.0916338}",{}
