name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Spot The Natural Food Restaurant,https://www.ubereats.com/los-angeles/food-delivery/spot-the-natural-food-restaurant/O0iUKYmUTXa0Q-4yFs1LAA,hawthorne-california,"['Vegetarian', 'Vegan', 'Healthy']",4.6,45,$,33.8548195,-118.3978256,+13103762355,90254,110 2nd St,Hermosa Beach,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hermosa Beach', 'addressRegion': 'CA', 'postalCode': '90254', 'addressCountry': 'US', 'streetAddress': '110 2nd St'}","{'@type': 'GeoCoordinates', 'latitude': 33.8548195, 'longitude': -118.3978256}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '45'}"
Panda Express (Inglewood) 3351 W. Century Blvd,https://www.ubereats.com/los-angeles/food-delivery/panda-express-inglewood-3351-w-century-blvd/lg1hGrQtRdOnkNAONDzIJQ,hawthorne-california,"['Chinese', 'Family Meals']",4.2,282,$,33.945868,-118.33126,+13106732117,90303,3351 W Century Blvd,Inglewood,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Inglewood', 'addressRegion': 'CA', 'postalCode': '90303', 'addressCountry': 'US', 'streetAddress': '3351 W Century Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.945868, 'longitude': -118.33126}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '282'}"
Subway (1671 Carson St),https://www.ubereats.com/los-angeles/food-delivery/subway-1671-carson-st/0K7H7NMfSuybA9EGWQGCWQ,hawthorne-california,"['Fast Food', 'Sandwich', 'American']",4.7,35,$,33.83189,-118.308677,+13106186959,90501,1671 Carson St,Torrance,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '0:25'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '0:25'}]","{'@type': 'PostalAddress', 'addressLocality': 'Torrance', 'addressRegion': 'CA', 'postalCode': '90501', 'addressCountry': 'US', 'streetAddress': '1671 Carson St'}","{'@type': 'GeoCoordinates', 'latitude': 33.83189, 'longitude': -118.308677}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '35'}"
"WaBa Grill (1640 W Carson St, Torrance)",https://www.ubereats.com/los-angeles/food-delivery/waba-grill-1640-w-carson-st-torrance/_-YHONShSB60hKG9K9XDJg,hawthorne-california,['Asian Fusion'],4.6,47,$,33.831097,-118.307293,+13107829222,90501,1640 W Carson St,Torrance,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '18:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '19:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '18:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Torrance', 'addressRegion': 'CA', 'postalCode': '90501', 'addressCountry': 'US', 'streetAddress': '1640 W Carson St'}","{'@type': 'GeoCoordinates', 'latitude': 33.831097, 'longitude': -118.307293}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '47'}"
Pho Daily,https://www.ubereats.com/los-angeles/food-delivery/pho-daily/6BGYO5BfQYedDu-5p-VrVg,hawthorne-california,['Vietnamese'],4.6,320,$,33.893913,-118.308601,+13106304915,,15126 S Western Ave,Gardena,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '10:0', 'closes': '4:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '4:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gardena', 'addressRegion': 'California', 'postalCode': '', 'addressCountry': 'US', 'streetAddress': '15126 S Western Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.893913, 'longitude': -118.308601}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '320'}"
Taco Bell (6000 Crenshaw Blvd),https://www.ubereats.com/los-angeles/food-delivery/taco-bell-6000-crenshaw-blvd/tV35K9lFTdKz05dr8mnkSw,hawthorne-california,"['Burritos', 'Fast Food', 'Mexican']",4.4,150,$,33.9851732,-118.3305546,+13237585900,90043,6000 Crenshaw Blvd,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '10:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90043', 'addressCountry': 'US', 'streetAddress': '6000 Crenshaw Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.9851732, 'longitude': -118.3305546}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '150'}"
Taco Bell (301 N Sepulveda Blvd),https://www.ubereats.com/los-angeles/food-delivery/taco-bell-301-n-sepulveda-blvd/8okV12NpSmGu5R_r9fGvaQ,hawthorne-california,"['Burritos', 'Fast Food', 'Mexican']",4.1,99,$,33.8815852,-118.3962966,+13103743620,90266,301 N Sepulveda Blvd,Manhattan Beach,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Manhattan Beach', 'addressRegion': 'CA', 'postalCode': '90266', 'addressCountry': 'US', 'streetAddress': '301 N Sepulveda Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.8815852, 'longitude': -118.3962966}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '99'}"
Charcoal Venice,https://www.ubereats.com/los-angeles/food-delivery/charcoal-venice/C99JNPK9TPW4BG48KbO3Gw,hawthorne-california,"['American', 'Breakfast and Brunch']",,,$$$,33.981627,-118.462943,+13107516794,90292,425 Washington Blvd,Marina del Rey,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '13:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Marina del Rey', 'addressRegion': 'CA', 'postalCode': '90292', 'addressCountry': 'US', 'streetAddress': '425 Washington Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.981627, 'longitude': -118.462943}",{}
Mi Zacatecas,https://www.ubereats.com/los-angeles/food-delivery/mi-zacatecas/48UCsbiwRFiE0gmbkQcagQ,hawthorne-california,"['Mexican', 'Seafood', 'Breakfast and Brunch']",4.7,190,$,33.916073,-118.361158,+13106750168,90250,12808 S Inglewood Ave,Hawthorne,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hawthorne', 'addressRegion': 'CA', 'postalCode': '90250', 'addressCountry': 'US', 'streetAddress': '12808 S Inglewood Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.916073, 'longitude': -118.361158}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '190'}"
Taj India Palace,https://www.ubereats.com/los-angeles/food-delivery/taj-india-palace/UL8NlP_GR0OzlPGKdH1bkQ,hawthorne-california,"['Indian', 'Allergy Friendly']",4.7,184,$$,33.962286,-118.420976,+13103371423,90045,8320 Lincoln Blvd,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90045', 'addressCountry': 'US', 'streetAddress': '8320 Lincoln Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.962286, 'longitude': -118.420976}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '184'}"
